title,year,organization
Managing Business Relationships in E-services Using Business Commitments.,2002,University of Michigan
A Protocol for Fast Co-Allocation of Shared Web Services.,2003,University of Maryland
PLM -Dynamic Business Process Composition and Execution by Rule Inference.,2002,University of Michigan
The New Database Architecture Framework - A Progress Report.,1985,University of Maryland
Les Frustrations du Terminologue.,1990,University of Michigan
Speed Training via Terminology.,1993,University of Michigan
Visualizing and Animating R-trees and Spatial Operations in Spatial Databases on the Worldwide Web.,1998,University of Maryland
The VASCO R-tree JAVA Applet.,1998,University of Maryland
An Integrated Data Structure with Multiple Access Paths.,1991,University of Michigan
"Panel: Data Models, Visual Representations, Metaphors: How to Solve the Puzzle?",1995,University of Maryland
Semantic Queries in Image Databases.,1991,University of Michigan
Feature Based Digital Video Indexing.,1995,University of Michigan
Starfield Visualization with Interactive Smooth Zooming.,1995,University of Maryland
Image Matching Using the OBIR System with Feature Point Histograms.,1998,University of Michigan
Spezialisten für Informationstechnik und Fachverwaltungen - von Mißklängen zu Harmonie?,1980,University of Michigan
Das Landesinformationssystem Baden-Württemberg.,1983,University of Michigan
Answering Queries Using OQL View Expressions.,1996,University of Maryland
Distributed Situation Monitoring: Issues and Architectures.,1996,University of Maryland
XML Repository and Active Views Demonstration.,1999,Tel Aviv University
Schema-driven Customization of Web Services.,2003,Tel Aviv University
"An Electronic Patient Record on Steroids: Distributed, Peer-to-Peer, Secure and Privacy-conscious.",2004,Tel Aviv University
Active Views for Electronic Commerce.,1999,Tel Aviv University
Managing Distributed Workspaces with Active XML.,2003,Tel Aviv University
Active XML: Peer-to-Peer Data and Web Services Integration.,2002,Tel Aviv University
Querying and Updating the File.,1993,Tel Aviv University
Large Scale P2P Distribution of Open-Source Software.,2007,Tel Aviv University
Direct Algorithms for Computing the Transitive Closure of Database Relations.,1987,University of Michigan
Efficient Search in Very Large Databases.,1988,University of Michigan
On Correctly Configuring Versioned Objects.,1989,University of Michigan
Hybrid Transitive Closure Algorithms.,1990,University of Michigan
Optimization for Spatial Query Processing.,1991,University of Maryland
DataBlitz: A High Performance Main-Memory Storage Manager.,1998,University of Maryland
Querying Business Processes.,2006,Tel Aviv University
A Model for Active Object Oriented Databases.,1991,Tel Aviv University
Monitoring Business Processes with Queries.,2007,Tel Aviv University
Evaluation and Optimization.,1977,University of Michigan
Information Preserving XML Schema Embedding.,2005,University of Maryland
Optimizing View Queries in ROLEX to Support Navigable Result Trees.,2002,University of Maryland
Ontology-based Support for Digital Government.,2001,University of Michigan
Interoperability In Multidatabases: Semantic and System Issues (Panel).,1991,University of Maryland
Using Latency-Recency Profiles for Data Delivery on the Web.,2002,University of Maryland
"Panel: Future Directions of Database Research - The VLDB Broadening Strategy, Part 2.",2000,University of Maryland
Illuminating the Dark Side of Web Services.,2003,University of Maryland
Computer Science 2.0: A New World of Data Management.,2007,University of Maryland
"Data Abstraction, Databases and Conceptual Modelling.",1980,University of Maryland
Standardization and the Relational Approach to Databases: An ANSI Task Group Status Report.,1980,University of Maryland
On Modelling Behavioural Semantics of Databases.,1981,University of Maryland
Issues in Network Management in the Next Millennium.,1999,University of Maryland
What is the Use of Abstract Data Types?,1978,University of Maryland
The Propel Distributed Services Platform.,2001,University of Maryland
Multiple Query Processing in Deductive Databases using Query Graphs.,1986,University of Maryland
Automatic web spreadsheet data extraction.,2013,University of Michigan
From Tree Patterns to Generalized Tree Patterns: On Efficient Evaluation of XQuery.,2003,University of Michigan
Adaptive Database Buffer Allocation Using Query Feedback.,1993,University of Maryland
Privacy Skyline: Privacy with Multidimensional Adversarial Knowledge.,2007,University of Michigan
Reorganization Points for File Designs with Nonlinear Processing Costs.,1975,University of Michigan
Performance and Scalability of Client-Server Database Architectures.,1992,University of Maryland
Model-Driven Data Acquisition in Sensor Networks.,2004,University of Maryland
Lifting the Burden of History from Adaptive Query Processing.,2004,University of Maryland
Probabilistic Graphical Models and their Role in Databases.,2007,University of Maryland
On B-Tree Indices for Skewed Distributions.,1992,University of Michigan
Recovering Information from Summary Data.,1997,University of Michigan
Modeling Skewed Distribution Using Multifractals and the `80-20' Law.,1996,Tel Aviv University
Impacts of Logic and Databases (Invited Paper).,1981,University of Maryland
From a laguna to open waters: Another view on the next generations of databases.,1989,University of Maryland
Ode as an Active Database: Constraints and Triggers.,1991,University of Michigan
OdeFS: A File System Interface to an Object-Oriented Database.,1994,University of Michigan
Composite Event Specification in Active Databases: Model & Implementation.,1992,University of Michigan
Fast Incremental Maintenance of Approximate Histograms.,1997,Tel Aviv University
Surfing Wavelets on Streams: One-Pass Summaries for Approximate Aggregate Queries.,2001,University of Michigan
How to Summarize the Universe: Dynamic Maintenance of Quantiles.,2002,University of Michigan
Approximate String Joins in a Database (Almost) for Free.,2001,University of Michigan
Semantic Queries with Pictures: The VIMSYS Model.,1991,University of Michigan
Discovering and Ranking Semantic Associations over a Large RDF Metabase.,2004,University of Maryland
Ambiguity in Processing Boolean Queries on TDMS Tree Structures: A Study of Four Different Philosophies.,1979,University of Maryland
Performance of Data-Parallel Spatial Operations.,1994,University of Maryland
Benchmarking Spatial Join Operations with Spatial Output.,1995,University of Maryland
Extension Joins.,1980,University of Michigan
A Note on the Survey: ``Future of Database Technology''.,1977,University of Michigan
A Designer for DBMS-Processable Logical Database Structures.,1979,University of Michigan
"Adaptive query processing: Why, How, When, and What Next?",2007,University of Maryland
Continuous K-Nearest Neighbor Queries for Continuously Moving Points with Updates.,2003,University of Maryland
Maintenance of Spatial Semijoin Queries on Moving Points.,2004,University of Maryland
On Indexing Line Segments.,1990,University of Michigan
Optimal Histograms with Quality Guarantees.,1998,University of Michigan
Multi-Dimensional Substring Selectivity Estimation.,1999,University of Michigan
Dalí: A High Performance Main Memory Storage Manager.,1994,University of Michigan
What can Hierarchies do for Data Warehouses?,1999,University of Michigan
Semantic Compression and Pattern Extraction with Fascicles.,1999,University of Michigan
Incremental Organization for Data Recording and Warehousing.,1997,University of Maryland
Incremental Organization for Data Recording and Warehousing.,1997,University of Michigan
BATON: A Balanced Tree Structure for Peer-to-Peer Networks.,2005,University of Michigan
Integrity Maintenance in Object-Oriented Databases.,1992,University of Michigan
Proclamation-Based Model for Cooperating Transactions.,1992,University of Michigan
Recovering from Main-Memory Lapses.,1993,University of Michigan
A Transaction Mechanism for Engineering Design Databases.,1984,University of Maryland
Fast Nearest Neighbor Search in Medical Image Databases.,1996,University of Maryland
Triggered Real-Time Databases with Consistency Constraints.,1990,University of Michigan
Mining Deviants in a Time Series Database.,1999,University of Michigan
